subject,session,run
danny,20180117,01
danny,20180117,02
danny,20180117,03
danny,20180117,04
danny,20180117,05
danny,20180117,06
danny,20180117,07
danny,20180117,08
danny,20180117,09
danny,20180117,10
danny,20180124,01
danny,20180124,02
danny,20180124,03
danny,20180124,04
danny,20180124,05
danny,20180124,06
danny,20180124,07
danny,20180124,08
danny,20180124,09
danny,20180131,01
danny,20180131,02
danny,20180131,03
danny,20180131,04
danny,20180131,05
danny,20180131,06
danny,20180131,07
danny,20180131,08
danny,20180131,09
danny,20180131,10
danny,20180131,11
danny,20180201,01
danny,20180201,02
danny,20180201,03
danny,20180201,04
danny,20180201,05
danny,20180201,06
danny,20180201,07
danny,20180201,08
danny,20180201,09
danny,20180201,10
danny,20180201,11
danny,20180201,12